website,domain,school_name,phone,grades,csz,street_address
,,Southampton Union Free School District, (631) 591-4510,PK-12,"Southampton, NY 11968",70 Leland Lane
http://www.southlewis.org/education/district/district.php?sectionid=1,southlewis.org,South Lewis Central School District, (315) 348-2500,PK-12,"Turin, NY 13473",4264 East Road
,,South Orangetown Central School District, (845) 680-1050,K-12,"Blauvelt, NY 10913",160 Van Wyck Road
,,South Kortright Central School District, (607) 538-9111,PK-12,"South Kortright, NY 13842",58200 New York 10
,,South Jefferson Central School District, (315) 583-6104,PK-12,"Adams Center, NY 13606",13180 U.S. 11
,,South Huntington Union Free School District, (631) 812-3070,K-12,"Huntington Station, NY 11746",60 Weston Street
,,South Glens Falls Central School District, (518) 793-9617,K-12,"South Glens Falls, NY 12803",6 Bluebird Road
,,South Colonie Central School District, (518) 869-3576,PK-12,"Albany, NY 12205",102 Loralee Drive
,,South Country Central School District, (631) 730-1510,PK-12,"East Patchogue, NY 11772",189 North Dunton Avenue
,,Somers Central School District, (914) 277-2400,K-12,"Heritage Hills, NY 10589",334 U.S. 202
,,Sodus Central School District, (315) 483-5201,PK-12,"Sodus, NY 14551",6375 Robinson Road
,,Solvay Union Free School District, (315) 468-1111,PK-12,"Solvay, NY 13209",103 3rd Street
,,Sidney Central School District, (607) 561-7700,PK-12,"Sidney, NY 13838",95 West Main Street
,,Silver Creek Central School District, (716) 934-2603,PK-12,"Silver Creek, NY 14136",1 Dickinson Street
,,Smithtown Central School District, (631) 382-2006,K-12,"Smithtown, NY 11787",26 New York Avenue
,,Shoreham-Wading River Central School District, (631) 821-8105,K-12,"Shoreham, NY 11786",250 New York 25A
,,Skaneateles Central School District, (315) 291-2221,K-12,"Skaneateles, NY 13152",45 East Elizabeth Street
,,Sherrill City School District, (315) 829-7425,PK-12,"Verona, NY 13478",5275 Highway 31
,,Sherman Central School District, (716) 761-6122,PK-12,"Sherman, NY 14781",127 Park Street
,,Shelter Island Union Free School District, (631) 749-0302,PK-12,"Shelter Island, NY 11964",33 North Ferry Road
,,Sharon Springs Central School District, (518) 284-2266,K-12,"Sharon Springs, NY 13459",514 St Route 20
,,Sherburne-Earlville Central School District, (607) 674-7300,PK-12,"Sherburne, NY 13460",15 School Street
,,Shenendehowa Central School District, (518) 881-0610,K-12,"Clifton Park, NY 12065",5 Chelsea Place
,,Seneca Falls Central School District, (315) 568-5818,K-12,"Seneca Falls, NY 13148",98 Clinton Street
,,Sewanhaka Central High School District, (516) 488-9800,7-12,"Floral Park, NY 11001",77 Landau Avenue
,,Seaford Union Free School District, (516) 592-4002,K-12,"Seaford, NY 11783",1600 Washington Avenue
,,Scotia-Glenville Central School District, (518) 382-1215,K-12,"Scotia, NY 12302",900 Preddice Pkwy
,,Schuylerville Central School District, (518) 695-3255,K-12,"Schuylerville, NY 12871",14 Spring Street
,,Scio Central School District, (585) 593-5076,PK-12,"Scio, NY 14880",3968 Washington Street
,,Schoharie Central School District, (518) 295-6679,K-12,"Schoharie, NY 12157",136 Academy Drive
,,Schroon Lake Central School District, (518) 532-7164,PK-12,"Schroon Lake, NY 12870",1125 U.S. 9
,,Schodack Central School District, (518) 732-2297,K-12,"Castleton-on-Hudson, NY 12033",1216 Maple Hill Road
,,Scarsdale Public Schools, (914) 721-2400,K-12,"Scarsdale, NY 10583",2 Brewster Road
,,Sayville Union Free School District, (631) 244-6510,K-12,"Sayville, NY 11782",99 Greeley Avenue
,,Sauquoit Valley Central School District, (315) 839-6311,K-12,"Sauquoit, NY 13456",2601 Oneida Street
,,Saratoga Springs City School District, (518) 583-4708,K-12,"Saratoga Springs, NY 12866",3 Blue Streak Boulevard
,,Schenevus Central School District, (607) 638-5530,PK-12,"Schenevus, NY 12155",159 Main Street
,,Saugerties Central School District, (845) 247-6501,K-12,"Saugerties, NY 12477",310 Washington Ave Ext
,,Schenectady City School District, (518) 370-8100,PK-12,"Schenectady, NY 12303",108 Education Dr
,,Saranac Lake Central School District, (518) 891-5460,K-12,"Saranac Lake, NY 12983",79 Canaras Avenue
,,Saranac Central School District, (518) 565-5600,K-12,"Saranac, NY 12981",32 Emmons Street
,,Sandy Creek Central School District, (315) 387-3445,PK-12,"Lacona, NY 13083",124 Salisbury Street
,,Salmon River Central School District, (518) 358-6610,PK-12,"Fort Covington, NY 12937",637 County Road 1
,,Salem Central School District, (518) 854-7855,K-12,"Salem, NY 12865",41 East Broadway
,,Salamanca City School District, (716) 945-2400,PK-12,"Salamanca, NY 14779",50 Iroquois Drive
,,Sagaponack Comn School District, (631) 537-0651,1-4,"Sagaponack, NY 11962",400 Sagg Main Street
,,Sag Harbor Union Free School District, (631) 725-5300,PK-12,"Sag Harbor, NY 11963",200 Jermain Avenue
,,Sackets Harbor Central School District, (315) 646-3575,K-12,"Sackets Harbor, NY 13685",215 South Broad Street
,,Rye Neck Union Free School District, (914) 777-5200,K-12,"Mamaroneck, NY 10543",310 Hornidge Road
,,Sachem Central School District, (631) 471-1336,K-12,"Lake Ronkonkoma, NY 11779",51 School Street
,,Royalton-Hartland Central School District, (716) 735-2000,PK-12,"Middleport, NY 14105",54 State Street
,,Rye City School District, (914) 967-6108,K-12,"Rye, NY 10580",411 Theodore Fremd Avenue
,,Roxbury Central School District, (607) 326-4151,PK-12,"Roxbury, NY 12474",53729 New York 30
,,Rush-Henrietta Central School District, (585) 359-5012,PK-12,"Henrietta, NY 14467",2034 Lehigh Station Road
,,Rotterdam-Mohonasen Central School District, (518) 356-8200,K-12,"Schenectady, NY 12303",2072 Curry Road
,,Roscoe Central School District, (607) 498-4126,PK-12,"Roscoe, NY 12776",6 Academy Street
,,Roosevelt Union Free School District, (516) 345-7001,PK-12,"Roosevelt, NY 11575",240 Denton Place
,,Roslyn Union Free School District, (516) 801-5001,PK-12,"Roslyn, NY 11576",300 Harbor Hill Road
,,Rondout Valley Central School District, (845) 687-2400,K-12,"Accord, NY 12404",122 Kyserike Road
,,Rome City School District, (315) 338-6521,PK-12,"Rome, NY 13440",409 Bell Road
,,Romulus Central School District, (866) 810-0345,PK-12,"Romulus, NY 14541",5705 New York 96
,,Rocky Point Union Free School District, (631) 849-7561,K-12,"Rocky Point, NY 11778",90 Rocky Point Yaphank Road
,,Rockville Centre Union Free School District, (516) 255-8920,K-12,"Rockville Centre, NY 11570",128 Shepherd Street
,,Riverhead Central School District, (631) 369-6717,K-12,"Riverhead, NY 11901",700 Osborn Avenue
,,Remsenburg-Speonk Union Free School District, (631) 325-0203,K-6,"Remsenburg-Speonk, NY 11960",11 Mill Road
,,Richfield Springs Central School District, (315) 858-0610,PK-12,"Richfield Springs, NY 13439",93 Main Street
,,Ripley Central School District, (716) 736-2631,PK-6,"Ripley, NY 14775",12 North State Street
,,Rensselaer City School District, (518) 465-7509,PK-12,"Rensselaer, NY 12144",25 Van Rensselaer Drive
,,Rochester City School District, (585) 262-8100,PK-12,"Rochester, NY 14614",131 West Broad Street
,,Remsen Central School District, (315) 831-3797,PK-12,"Remsen, NY 13438",Davis Dr
,,Rhinebeck Central School District, (845) 871-5520,K-12,"Rhinebeck, NY 12572",45 North Park Road
,,Red Hook Central School District, (845) 758-2241,K-12,"Red Hook, NY 12571",9 Mill Road
,,Red Creek Central School District, (315) 754-2010,PK-12,"Red Creek, NY 13143",6815 Church Street
,,Randolph Central School District, (716) 358-7005,PK-12,"Randolph, NY 14772",18 Main Street
,,Ravena-Coeymans-Selkirk Central School District, (518) 756-5200,PK-12,"Ravena, NY 12143",15 Mountain Road
,,Randolph Acad Union Free School District, (716) 358-6866,1-12,"Randolph, NY 14772",336 Main Street
,,Ramapo Central School District (Suffern), (845) 357-7783,K-12,"Hillburn, NY 10931",45 Mountain Avenue
,,Quogue Union Free School District, (631) 653-4285,PK-6,"Quogue, NY 11959",10 Edgewood Road
,,Putnam Valley Central School District, (845) 528-8143,K-12,"Putnam Valley, NY 10579",146 Peekskill Hollow Road
http://www.pacs.cnyric.org/,pacs.cnyric.org,Pulaski Central School District, (315) 298-5188,PK-12,"Pulaski, NY 13142",2 Hinman Road
,,Poughkeepsie City School District, (845) 451-4950,PK-12,"Poughkeepsie, NY 12603",11 College Avenue
,,Prattsburgh Central School District, (607) 522-3795,PK-12,"Prattsburgh, NY 14873",1 Academy St
,,Putnam Central School District, (518) 547-8266,PK-6,"Putnam Station, NY 12861",126 County Road 2
,,Queensbury Union Free School District, (518) 824-5602,K-12,"Queensbury, NY 12804",429 Aviation Road
,,Portville Central School District, (716) 933-7140,PK-12,"Portville, NY 14770",500 Elm Street
,,Potschool Districtam Central School District, (315) 265-2000,PK-12,"Potschool Districtam, NY 13676",29 Leroy St
,,Port Washington Union Free School District, (516) 767-5005,PK-12,"Port Washington, NY 11050",100 Campus Drive
,,Port Jervis City School District, (845) 858-3100,K-12,"Port Jervis, NY 12771",9 Thompson Street
,,Port Jefferson Union Free School District, (631) 791-4221,PK-12,"Port Jefferson, NY 11777",550 Scraggy Hill Road
,,Poland Central School District, (315) 826-0203,PK-12,"Poland, NY 13431",74 Cold Brook Street
,,Pleasantville Union Free School District, (914) 741-1400,K-12,"Pleasantville, NY 10570",60 Romer Avenue
,,Pocantico Hills Central School District, (914) 631-2440,PK-8,"Tarrytown, NY 10591",599 Bedford Road
,,Port Chester-Rye Union Free School District, (914) 934-7901,K-12,"Port Chester, NY 10573",113 Bowman Avenue
,,Plattsburgh City School District, (518) 957-6002,PK-12,"Plattsburgh, NY 12901",49 Broad Street
,,Plainview-Old Bethpage Central School District, (516) 434-3001,K-12,"Plainview, NY 11803",106 Washington Avenue
,,Port Byron Central School District, (315) 776-5728,PK-12,"Port Byron, NY 13140",30 Maple Avenue
,,Plainedge Union Free School District, (516) 992-7455,K-12,"Massapequa, NY 11758",241 Wyngate Drive
,,Pittsford Central School District, (585) 267-1004,K-12,"Pittsford, NY 14534",75 Barker Road
,,Pine Valley Central School District (South Dayton), (716) 988-3293,PK-12,"South Dayton, NY 14138",7755 New York 83
,,Pine Bush Central School District, (845) 744-2031,PK-12,"Pine Bush, NY 12566",156 New York 302
,,Phoenix Central School District, (315) 695-1555,PK-12,"Phoenix, NY 13135",116 Volney Street
,,Pine Plains Central School District, (518) 398-7181,K-12,"Pine Plains, NY 12567",2829 Church Street
http://www.perucsd.org,perucsd.org,Peru Central School District, (518) 643-6000,K-12,"Peru, NY 12972",17 School St
,,Phelps-Clifton Springs Central School District, (315) 548-6420,K-12,"Clifton Springs, NY 14432",1490 New York 488
,,Penn Yan Central School District, (315) 536-3371,PK-12,"Penn Yan, NY 14527",1 School Drive
,,Penfield Central School District, (585) 249-5700,K-12,"Rochester, NY 14625",2590 Atlantic Avenue
,,Perry Central School District, (585) 237-0270,PK-12,"Perry, NY 14530",33 Watkins Avenue
,,Pembroke Central School District, (585) 599-4525,K-12,"Corfu, NY 14036",8750 Alleghany Road
,,Pelham Union Free School District, (914) 738-3434,K-12,"Village of Pelham, NY 10803",18 Franklin Place
,,Pearl River Union Free School District, (845) 620-3922,K-12,"Pearl River, NY 10965",135 West Crooked Hill Road
,,Pawling Central School District, (845) 855-4600,K-12,"Pawling, NY 12564",515 New York 22
,,Peekskill City School District, (914) 737-3300,PK-12,"Peekskill, NY 10566",1031 Elm Street
,,Pavilion Central School District, (585) 584-1013,PK-12,"Pavilion, NY 14525",7014 Big Tree Road
,,Parishville-Hopkinton Central School District, (315) 265-4642,PK-12,"Parishville, NY 13672",12 County Route 47
,,Patchogue-Medford Union Free School District, (631) 687-6380,K-12,"Patchogue, NY 11772",241 South Ocean Avenue
,,Panama Central School District, (716) 782-4445,PK-12,"Panama, NY 14767",41 North Street
,,Palmyra-Macedon Central School District, (315) 597-3401,K-12,"Palmyra, NY 14522",151 Hyde Parkway
,,Oysterponds Union Free School District, (631) 323-2410,PK-6,"Orient, NY 11957",23405 Main Road
,,Oyster Bay-East Norwich Central School District, (516) 624-6505,PK-12,"Oyster Bay, NY 11771",1 McCouns Lane
,,Owego-Apalachin Central School District, (607) 687-6224,PK-12,"Owego, NY 13827",5 Sheldon Guile Boulevard
,,Oswego City School District, (315) 341-2001,K-12,"Oswego, NY 13126",120 East 1st Street
,,Oxford Academy & Central School District, (607) 843-2025,PK-12,"Oxford, NY 13830",12 Fort Hill Park
,,Ossining Union Free School District, (914) 941-7700,PK-12,"Ossining, NY 10562",400 Executive Boulevard
,,Oriskany Central School District, (315) 768-2058,PK-12,"Oriskany, NY 13424",1313 Utica Street
,,Otego-Unadilla Central School District, (607) 988-5038,K-12,"Otego, NY 13825",2641 New York 7
,,Oppenheim-Ephratah-St. Johnsville Charter School, (518) 568-2011,PK-12,"Saint Johnsville, NY 13452",44 Center Street
,,Orchard Park Central School District, (716) 209-6280,K-12,"West Seneca, NY 14224",2240 Southwestern Boulevard
,,Onondaga Central School District, (315) 552-5000,PK-12,"Nedrow, NY 13120",4466 South Onondaga Road
,,Onteora Central School District, (845) 657-8851,K-12,"Boiceville, NY 12412",4166 New York 28
,,Ogdensburg City School District, (315) 393-0900,PK-12,"Ogdensburg, NY 13669",1100 State Street
,,Odessa-Montour Central School District, (607) 594-3341,PK-12,"Odessa, NY 14869",300 College Avenue
,,Oceanside Union Free School District, (516) 678-1215,K-12,"Oceanside, NY 11572",145 Merle Avenue
,,Oneonta City School District, (607) 433-8232,K-12,"Oneonta, NY 13820",31 Center Street
,,Oneida City School District, (315) 363-2550,PK-12,"Oneida, NY 13421",565 Sayles Street
,,Olean City School District, (716) 375-8055,PK-12,"Olean, NY 14760",410 West Sullivan Street
,,Oakfield-Alabama Central School District, (585) 948-5211,PK-12,"Oakfield, NY 14125",7001 Lewiston Road
,,Nyc Special Schools - District 75, (212) 802-1501,PK-12,"New York, NY 10010",400 1st Avenue
,,Nyc Geog District #32 - Brooklyn, (718) 574-1100,PK-12,"Brooklyn, NY 11221",797 Bushwick Avenue
,,Nyc Geog District #27 - Queens, (718) 642-5800,PK-12,"Queens, NY 11416",82-01 Rockaway Boulevard
,,Nyc Geog District #31 - Staten Island, (718) 420-5667,PK-12,"Staten Island, NY 10301",715 Ocean Terrace
,,Nyc Geog District #29 - Queens, (718) 264-3146,PK-12,"Queens, NY 11428",222-14 Jamaica Avenue
,,Nyc Geog District #28 - Queens, (718) 557-2622,PK-12,"Queens, NY 11435",90-27 Sutphin Boulevard
,,Nyc Geog District #26 - Queens, (718) 631-6943,PK-12,"Queens, NY 11361",45-15 Oceania Street
,,Nyc Geog District #30 - Queens, (718) 391-8323,PK-12,"Queens, NY 11101",28-11 Queens Plaza North
,,Nyc Geog District #25 - Queens, (718) 281-7605,PK-12,"Queens, NY 11354",30-48 Linden Place
,,Nyc Geog District #24 - Queens, (718) 592-3357,PK-12,"Queens, NY 11368",98-50 50th Avenue
,,Nyc Geog District #21 - Brooklyn, (718) 648-0209,PK-12,"Brooklyn, NY 11224",501 West Avenue
,,Nyc Geog District #22 - Brooklyn, (718) 968-6115,PK-12,"Brooklyn, NY 11235",2525 Haring Street
,,Nyc Geog District #23 - Brooklyn, (718) 240-3677,PK-12,"Brooklyn, NY 11233",2021 Bergen Street
,,Nyc Geog District #20 - Brooklyn, (718) 759-4908,PK-12,"Brooklyn, NY 11209",415 89th Street
,,Nyc Geog District #19 - Brooklyn, (718) 240-2700,PK-12,"Brooklyn, NY 11207",557 Pennsylvania Avenue
,,Nyc Geog District #16 - Brooklyn, (718) 574-2834,PK-12,"Brooklyn, NY 11221",1014 Lafayette Avenue
