website,domain,school_name,phone,grades,csz,street_address
http://www.bendschool.org,bendschool.org,Bend Elementary School District, (530) 527-4648,K-8,"Red Bluff, CA 96080",22270 Bend Ferry Rd
http://www.belridgeschool.org,belridgeschool.org,Belridge Elementary, (661) 762-7381,K-8,"Mckittrick, CA 93251-9715",19447 Wagon Wheel Road
http://www.brssd.org,brssd.org,Belmont-Redwood Shores Elementary School District, (650) 637-4800,K-8,"Belmont, CA 94002-2943",2960 Hallmark Drive
http://www.busd.k12.ca.us,busd.k12.ca.us,Bellflower Unified School District, (562) 866-9011,K-12,"Bellflower, CA 90706-5203",16703 South Clark Avenue
http://www.busd.org/,busd.org,Bellevue Union Elementary School District, (707) 542-5197,K-12,"Santa Rosa, CA 95407-2764",3150 Education Drive
http://www.belleview.k12.ca.us,belleview.k12.ca.us,Belleview Elementary, (209) 586-5510,K-8,"Sonora, CA 95370-8331",22736 Kuien Mill Road
http://www.bveagles.com,bveagles.com,Bella Vista Elementary, (530) 549-4415,K-8,"Bella Vista, CA 96008-9792",22661 Old Alturas Road
http://www.beaumontusd.k12.ca.us,beaumontusd.k12.ca.us,Beaumont Unified School District, (951) 845-1631 x5374,K-12,"Beaumont, CA 92223",350 W Brookside Avenue
http://www.beardsleyschool.org,beardsleyschool.org,Beardsley Elementary, (661) 393-8550,K-8,"Bakersfield, CA 93308-4503",1001 Roberts Lane
http://www.bearvalleyusd.org,bearvalleyusd.org,Bear Valley Unified, (909) 866-4631,K-12,"Big Bear Lake, CA 92315-1529",42271 Moonridge Road
http://www.bayshore.k12.ca.us,bayshore.k12.ca.us,Bayshore Elementary, (415) 467-5443,K-12,"Daly City, CA 94014-1603",1 Martin Street
http://www.bassett.k12.ca.us,bassett.k12.ca.us,Bassett Unified, (626) 931-3000,K-12,"La Puente, CA 91746-1615",904 North Willow Avenue
http://www.basslakeschooldistrict.com,basslakeschooldistrict.com,Bass Lake Joint Union Elementary, (559) 642-1555,K-8,"Oakhurst, CA 93644-8729",40096 Indian Springs Road
http://www.barstow.k12.ca.us,barstow.k12.ca.us,Barstow Unified School District, (760) 255-6000,K-12,"Barstow, CA 92311-2500",551 South Avenue H
http://bantaesd.sharpschool.net,bantaesd.sharpschool.net,Banta Elementary, (209) 229-4651,PK-8,"Tracy, CA 95304-9413",22375 South El Rancho Road
http://www.banning.k12.ca.us,banning.k12.ca.us,Banning Unified School District, (951) 922-0200,K-12,"Banning, CA 92220-4746",161 West Williams Street
http://www.bcoe.org/home/districts/bangor,bcoe.org,Bangor Union Elementary, (530) 679-2434,K-8,"Bangor, CA 95914-0340",7549 Oro-Bangor Highway
http://www.ballicocressey.com,ballicocressey.com,Ballico-Cressey Elementary, (209) 632-5371,K-8,"Ballico, CA 95303-0049",11818 West Gregg Street
http://www.ballardschool.org,ballardschool.org,Ballard Elementary, (805) 688-4812,K-6,"Solvang, CA 93463-9709",2425 School Street
,,Baldy View Rop, (909) 980-6490,Ungraded,"Rancho Cucamonga, CA 91730",8265 Aspen Street
http://www.bpusd.net,bpusd.net,Baldwin Park Unified, (626) 962-3311,K-12,"Baldwin Park, CA 91706-5397",3699 North Holly Avenue
http://www.bcsd.com,bcsd.com,Bakersfield City, (661) 631-4610,PK-8,"Bakersfield, CA 93305-4326",1300 Baker Street
http://www.baker.k12.ca.us/baker.htm,baker.k12.ca.us,Baker Valley Unified, (760) 733-4567,K-12,"Baker, CA 92309",72100 School House Lane
http://www.azusa.org,azusa.org,Azusa Unified School District, (626) 967-6211,PK-12,"Azusa, CA 91702-0500",546 South Citrus Avenue
http://www.auburn.k12.ca.us,auburn.k12.ca.us,Auburn Union Elementary, (530) 885-7242,K-8,"Auburn, CA 95603-3745",255 Epperle Lane
http://www.aesd.edu,aesd.edu,Atwater Elementary, (209) 357-6100,K-8,"Atwater, CA 95301-3546",1401 Broadway Avenue
http://www.atasusd.org,atasusd.org,Atascadero Unified, (805) 462-4200,PK-12,"Atascadero, CA 93422-4234",5601 West Mall
http://www.arvinschools.com,arvinschools.com,Arvin Union Elementary, (661) 854-6500,PK-8,"Arvin, CA 93203-1413",737 Bear Mountain Boulevard
http://www.asjusd.k12.ca.us,asjusd.k12.ca.us,Aromas San Juan Unified, (831) 623-4500,K-12,"San Juan Bautista, CA 95045-9557",2300 San Juan Highway
http://www.auesd.com,auesd.com,Armona Union Elementary, (559) 583-5003,K-12,"Armona, CA 93202-0368",11115 C Street
http://www.mcoe.k12.ca.us/schools/arena_union,mcoe.k12.ca.us,Arena Union Elementary, (707) 882-2803,K-12,"Point Arena, CA 95468",45 Lake Street
http://www.arcohe.net,arcohe.net,Arcohe Union Elementary, (209) 748-2313,K-8,"Herald, CA 95638-8317",11755 Ivie Road
http://www.bonsallusd.com,bonsallusd.com,Bonsall Unified, (760) 631-5200,K-12,"Bonsall, CA 92003",31505 Old River Road
http://www.bonnydoon.santacruz.k12.ca.us,bonnydoon.santacruz.k12.ca.us,Bonny Doon Union Elementary, (831) 427-2300,K-6,"Santa Cruz, CA 95060-9711",1492 Pine Flat Road
http://www.bonita.k12.ca.us,bonita.k12.ca.us,Bonita Unified, (909) 971-8200,K-12,"San Dimas, CA 91773-1437",115 West Allen Avenue
http://www.bolinas-stinson.org,bolinas-stinson.org,Bolinas-Stinson Union, (415) 868-1603,K-8,"Bolinas, CA 94924-9747",125 Olema-Bolinas Road
http://www.sisnet.ssku.k12.ca.us/~bogusftp,sisnet.ssku.k12.ca.us,Bogus Elementary, (530) 459-3163,K-8,"Montague, CA 96064-9434",13735 Ager-Beswick Road
http://www.humboldt.k12.ca.us/bluelake,humboldt.k12.ca.us,Blue Lake Union Elementary, (707) 668-5674,K-8,"Blue Lake, CA 95525",631 Greenwood Avenue
http://www.sbceo.k12.ca.us/districts/blochmanusd,sbceo.k12.ca.us,Blochman Union Elementary, (805) 937-1148,K-12,"Santa Maria, CA 93454-9666",4949 Foxen Canyon Road
http://kcsos.kern.org/blakesd,kcsos.kern.org,Blake Elementary, (661) 536-8559,K-8,"Woody, CA 93287-0040",19165 Main Street
http://www.bomusd.org,bomusd.org,Black Oak Mine Unified, (530) 333-8300,PK-12,"Georgetown, CA 95634-9001",6540 Wentworth Springs Road
http://www.blackbutteschool.org,blackbutteschool.org,Black Butte Union Elementary School District, (530) 474-3125,K-8,"Shingletown, CA 96088-9652",7752 Ponderosa Way
http://www.sbcoe.k12.ca.us/districts/bitterwater.html,sbcoe.k12.ca.us,Bitterwater-Tully Elementary, (831) 385-5339,K-8,"King City, CA 93930","45980 Airline Hwy,, State Highway 25"
http://www.bishopschools.org,bishopschools.org,Bishop Unified School District, (760) 872-3680,K-12,"Bishop, CA 93514",301 North Fowler Street
http://www.biggs.org,biggs.org,Biggs Unified, (530) 868-1281,K-12,"Biggs, CA 95917-9732",300 B Street
http://www.calienteschooldistrict.org,calienteschooldistrict.org,Caliente Union Elementary, (661) 867-2301,K-8,"Caliente, CA 93518-2851",12400 Caliente Creek Road
http://www.calexico.k12.ca.us,calexico.k12.ca.us,Calexico Unified School District, (760) 768-3888,K-12,"Calexico, CA 92231-3015",901 Andrade Avenue
http://www.calaveras.k12.ca.us,calaveras.k12.ca.us,Calaveras Unified, (209) 754-2300,K-12,"San Andreas, CA 95249-0788",3304 B Highway 12
http://www.ccoe.k12.ca.us/programs_services/rop.html,ccoe.k12.ca.us,Calaveras County Rop, (530) 621-0123,K-12,"Chico, CA 95928",2491 Carmichael Dr
http://www.ccoe.k12.ca.us,ccoe.k12.ca.us,Calaveras County Office Of Education, (209) 736-4662,K-12,"Angels Camp, CA 95221-0760",185 South Main Street
http://www.cajonvalley.net,cajonvalley.net,Cajon Valley Union School District, (619) 588-3005,PK-8,"El Cajon, CA 92022-1007",750 East Main Street
http://www.castlerockschool.net,castlerockschool.net,Castle Rock Union Elementary, (530) 235-0101,K-8,"Castella, CA 96017-0180",29373 Main Street
http://www.castaicusd.com,castaicusd.com,Castaic Union Elementary, (661) 257-4500,K-8,"Valencia, CA 91355-4114",28131 Livingston Avenue
http://www.cuesd.com,cuesd.com,Cascade Union Elementary School District, (530) 378-7000,K-8,"Anderson, CA 96007-3226",1645 West Mill Street
http://www.caruthers.k12.ca.us,caruthers.k12.ca.us,Caruthers Unified, (559) 864-6500,K-12,"Caruthers, CA 93609",1 Tiller Avenue
http://www.cusd.net,cusd.net,Carpinteria Unified, (805) 684-4511,K-12,"Carpinteria, CA 93013-1414",1400 Linden Avenue
http://www.carmelunified.org,carmelunified.org,Carmel Unified, (831) 624-1546,K-12,"Carmel, CA 93923-7942",4380 Carmel Valley Road
http://www.carlsbadusd.k12.ca.us,carlsbadusd.k12.ca.us,Carlsbad Unified School District, (760) 331-5000,PK-12,"Carlsbad, CA 92009-1604",6225 El Camino Real
http://www.cardiffschools.com,cardiffschools.com,Cardiff Elementary, (760) 632-5890,K-6,"Cardiff-By-The-Sea, CA 92007-2313",1888 Montgomery Avenue
,,Capistrano-Laguna Beach Rop Jpa, (949) 496-3118,Ungraded,"San Juan Capistrano, CA 92675",31522 El Camino Real
http://www.capousd.org,capousd.org,Capistrano Unified School District, (949) 234-9200,K-12,"San Juan Capistrano, CA 92675-4706",33122 Valle Road
http://www.cjuesd.org,cjuesd.org,Capay Joint Union Elementary, (530) 865-1222,K-8,"Orland, CA 95963-9691",7504 Cutting Avenue
http://www.canyon.k12.ca.us,canyon.k12.ca.us,Canyon Elementary, (925) 376-4671,K-8,"Canyon, CA 94516-0187",187 Pinehurst Road Po Box 187
http://www.cville.k12.ca.us,cville.k12.ca.us,Camptonville Elementary, (530) 288-3277,K-12,"Camptonville, CA 95922-0278",16585 School Street
http://www.cuhsd.org,cuhsd.org,Campbell Union High, (408) 371-0960,9-12,"San Jose, CA 95124-2009",3235 Union Avenue
http://www.campbellusd.org,campbellusd.org,Campbell Union, (408) 364-4200,K-8,"Campbell, CA 95008-2086",155 North Third Street
http://www.caminoschool.org,caminoschool.org,Camino Union Elementary, (530) 644-4552,K-8,"Camino, CA 95709-9578",3060 Snows Road
http://www.cambriansd.org,cambriansd.org,Cambrian, (408) 377-2103,K-8,"San Jose, CA 95124-3312",4115 Jacksol Drive
http://www.calistoga.k12.ca.us,calistoga.k12.ca.us,Calistoga Joint Unified, (707) 942-4703,K-12,"Calistoga, CA 94515-1605",1520 Lake Street
http://www.calipatriahornets.org,calipatriahornets.org,Calipatria Unified, (760) 348-2151,K-12,"Calipatria, CA 92233-9787",501 West Main Street
http://www.csdr-cde.ca.gov,csdr-cde.ca.gov,California School For The Deaf-Riverside (State Special School, (951) 248-7700,K-12,"Riverside, CA 92506-4498",3044 Horace Street
http://www.csdeagles.com,csdeagles.com,California School For The Deaf-Fremont (State Special Schl), (510) 794-3666,PK-12,"Fremont, CA 94538-2308",39350 Gallaudet Drive
http://www.csb-cde.ca.gov,csb-cde.ca.gov,California School For The Blind (State Special Schl), (510) 794-3800,K-1,"Fremont, CA 94536-4365",500 Walnut Avenue
http://www.cabrillo.k12.ca.us,cabrillo.k12.ca.us,Cabrillo Unified, (650) 712-7100,K-12,"Half Moon Bay, CA 94019-1636",498 Kelly Avenue
http://www.byronunionschooldistrict.us,byronunionschooldistrict.us,Byron Union Elementary, (925) 809-7500,K-12,"Byron, CA 94514-2515",14301 Byron Highway
http://www.buttonwillow.k12.ca.us,buttonwillow.k12.ca.us,Buttonwillow Union Elementary, (661) 764-5166,K-8,"Buttonwillow, CA 93206-9700",42600 Highway 58
http://www.butteville.k12.ca.us,butteville.k12.ca.us,Butteville Union Elementary, (530) 938-2255,K-8,"Edgewood, CA 96094-4489",24512 Edgewood Road
http://www.bvalusd.org,bvalusd.org,Butte Valley Unified School District, (530) 397-4000,K-12,"Dorris, CA 96023",615 West Third Street
,,Butte County Rop, (530) 879-7462,Ungraded,"Oroville, CA 95965",1859 Bird Street
http://www.bcoe.org,bcoe.org,Butte County Office Of Education, (530) 532-5761,K-12,"Oroville, CA 95965-4854",1859 Bird Street
http://www.burtonschools.org,burtonschools.org,Burton Elementary, (559) 781-8020,K-12,"Porterville, CA 93257-2542",264 North Westwood Street
http://burrel.ca.schoolwebpages.com,burrel.ca.schoolwebpages.com,Burrel Union Elementary, (559) 866-5634,K-8,"Riverdale, CA 93656-9746",16704 South Jameson Avenue
http://www.chicousd.org,chicousd.org,Chico Unified School District, (530) 891-3000,PK-12,"Chico, CA 95928-5903",1163 East Seventh Street
http://www.chicagoparkschool.org,chicagoparkschool.org,Chicago Park Elementary, (530) 346-2153,K-8,"Grass Valley, CA 95945-7906",15725 Mount Olive Road
http://www.chawanakee.k12.ca.us,chawanakee.k12.ca.us,Chawanakee Unified School District, (559) 877-6209,K-12,"North Fork, CA 93643",33030 Road 228
http://www.chatom.k12.ca.us,chatom.k12.ca.us,Chatom Union, (209) 664-8505,K-8,"Turlock, CA 95380-9352",7201 Clayton Road
http://www.cousd.net,cousd.net,Charter Oak Unified, (626) 966-8331,K-12,"Covina, CA 91724-1227",20240 East Cienega Avenue
http://www.cjuhsd.net,cjuhsd.net,Chaffey Joint Union High, (909) 988-8511,9-12,"Ontario, CA 91762-1698",211 West Fifth Street
http://www.ceres.k12.ca.us,ceres.k12.ca.us,Ceres Unified School District, (209) 556-1500,K-12,"Ceres, CA 95307-3301",2503 Lawrence Street
http://www.cesd.us,cesd.us,Centralia Elementary, (714) 228-3100,PK-6,"Buena Park, CA 90620-2859",6625 La Palma Avenue
http://www.cuhsd.net,cuhsd.net,Central Union High School District, (760) 336-4500,"K-2, 9-12","El Centro, CA 92243-3110",351 West Ross Avenue
http://www.central.k12.ca.us/district,central.k12.ca.us,Central Union Elementary, (559) 925-2619,PK-8,"Lemoore, CA 93245-9742",15783 18th Avenue
http://www.centralunified.org,centralunified.org,Central Unified School District, (559) 274-4700,K-12,"Fresno, CA 93722-3749",5652 West Gettysburg Avenue
,,Central Sierra Rop, (530) 622-7130,10-12,"Placerville, CA 95667",337 Placerville Drive
http://www.csd-ca.schoolloop.com,csd-ca.schoolloop.com,Central Elementary, (909) 989-8541,K-8,"Rancho Cucamonga, CA 91730-6863","10601 Church Street, Suite 112"
,,Central County Rop, (714) 966-3528,10-12,"Santa Ana, CA 92706",2323 North Broadway
http://www.centinela.k12.ca.us,centinela.k12.ca.us,Centinela Valley Union High, (310) 263-3200,9-12,"Lawndale, CA 90260-1251",14901 South Inglewood Avenue
http://www.centerusd.k12.ca.us,centerusd.k12.ca.us,Center Joint Unified, (916) 338-6330,K-12,"Antelope, CA 95843-9116",8408 Watt Avenue
,,Cea Ventura County School District, (805) 485-7951,9-12,"Camarillo, CA 93010",3100 Wright Rd
,,Cea San Joaquin County School District, (209) 944-6471,8-12,"Stockton, CA 95213",7650 South Newcastle Rd
,,Cea Amador County School District, (209) 274-8131,9-12,"Pine Grove, CA 95665",13630 Aqueductvolcano Rd
http://www.cesdschool.net,cesdschool.net,Cayucos Elementary, (805) 995-3694,K-8,"Cayucos, CA 93430-1036",301 Cayucos Drive
http://www.cv.k12.ca.us,cv.k12.ca.us,Castro Valley Unified School District, (510) 537-3000,K-12,"Castro Valley, CA 94546-0146",4400 Alma Avenue
http://www.tcoek12.org,tcoek12.org,Burnt Ranch Elementary, (530) 629-2543,K-8,"Burnt Ranch, CA 95527-0039",251 Burnt Ranch School Road
http://www.burlingameschools.org,burlingameschools.org,Burlingame Elementary School District, (650) 259-3800,K-8,"Burlingame, CA 94010-4509",1825 Trousdale Drive
http://www.burbankusd.org,burbankusd.org,Burbank Unified School District, (818) 729-4400,K-12,"Burbank, CA 91506-2438",1900 West Olive Avenue
,,Buena Vista Elementary, (559) 686-2015,K-8,"Tulare, CA 93274-9470",21660 Road 60
http://www.bpsd.k12.ca.us,bpsd.k12.ca.us,Buena Park Elementary, (714) 522-8412,K-8,"Buena Park, CA 90620-1398",6885 Orangethorpe Avenue
http://www.buelltonusd.org,buelltonusd.org,Buellton Union Elementary, (805) 686-2767,K-8,"Buellton, CA 93427-6801",595 Second Street
http://www.buckeyeusd.org,buckeyeusd.org,Buckeye Union Elementary, (530) 677-2261,K-8,"El Dorado Hills, CA 95762-9570",1665 Blackstone Parkway
http://www.sutter.k12.ca.us/district/browns/browns.htm,sutter.k12.ca.us,Browns Elementary, (530) 633-2523,K-8,"Rio Oso, CA 95674-9618",1248 Pacific Avenue
http://www.brittan.k12.ca.us,brittan.k12.ca.us,Brittan Elementary School District, (530) 822-5155,K-8,"Sutter, CA 95982-2430",2340 Pepper Street
http://www.brisbanesd.org,brisbanesd.org,Brisbane Elementary, (415) 467-0550,K-8,"Brisbane, CA 94005-1342",1 Solano Street
http://www.briggsesd.org,briggsesd.org,Briggs Elementary, (805) 525-7540,K-8,"Santa Paula, CA 93036-3088",12465 Foothill Road
http://www.humboldt.k12.ca.us/bridgeville_sd,humboldt.k12.ca.us,Bridgeville Elementary, (707) 777-3311,K-8,"Bridgeville, CA 95526-0098",38717 Kneeland Road
,,Contra Costa County Rop, (925) 942-3368,9-12,"Pleasant Hill, CA 94523",77 Santa Barbara Road
http://www.cocoschools.org,cocoschools.org,Contra Costa County Office Of Education, (925) 942-3388,K-12,"Pleasant Hill, CA 94523-4201",77 Santa Barbara Road
http://www.conejousd.org,conejousd.org,Conejo Valley Unified School District, (805) 497-9511,K-12,"Thousand Oaks, CA 91362-2133",1400 East Janss Road
,,Compton Unified Rop, (310) 639-4321,9-12,"Compton, CA 90220",604 South Tamarind Avenue
http://www.compton.k12.ca.us,compton.k12.ca.us,Compton Unified, (310) 639-4321,K-12,"Compton, CA 90221-3814",501 South Santa Fe Avenue
http://www.colusa.k12.ca.us,colusa.k12.ca.us,Colusa Unified, (530) 458-7791,K-12,"Colusa, CA 95932-2220",745 10th Street
http://www.ccoe.net,ccoe.net,Colusa County Office Of Education, (530) 458-0350,K-12,"Colusa, CA 95932-2445",345 5th Street
http://www.tcoe.k12.ca.us/Districts/Columbine.shtm,tcoe.k12.ca.us,Columbine Elementary, (661) 725-8501,K-8,"Delano, CA 93215-9420",2240 Road 160
http://www.columbia49er.k12.ca.us,columbia49er.k12.ca.us,Columbia Union, (209) 532-0202,K-8,"Columbia, CA 95310-9757",22540 Parrotts Ferry Road
http://www.columbiasd.com,columbiasd.com,Columbia Elementary, (530) 223-1915,K-8,"Redding, CA 96003-7995",10140 Old Oregon Trail
,,Colton-Redlands-Yucaipa Rop, (909) 793-3115,9-12,"Redlands, CA 92374",1214 Indiana Court
http://www.colton.k12.ca.us,colton.k12.ca.us,Colton Joint Unified School District, (909) 580-5000,PK-12,"Colton, CA 92324-1798",1212 Valencia Drive
http://www.collegeschooldistrict.org,collegeschooldistrict.org,College Elementary, (805) 686-7300,K-8,"Santa Ynez, CA 93460-0188",3525 Pine Street
http://www.colfax.k12.ca.us,colfax.k12.ca.us,Colfax Elementary, (530) 346-2202,K-12,"Colfax, CA 95713-9553",24825 Ben Taylor Road
http://www.coldspringschool.net,coldspringschool.net,Cold Spring Elementary, (805) 969-2678,K-6,"Santa Barbara, CA 93108-1909",2243 Sycamore Canyon Road
http://www.tcoek12.org/~ccschool,tcoek12.org,Coffee Creek Elementary, (530) 266-3344,K-8,"Coffee Creek, CA 96091-9503",Coffee Creek Road & Ridgewood Road
,,Coastline Rop, (714) 979-1955,9-12,"Costa Mesa, CA 92626",1001 Presidio Square
http://www.cypsd.org,cypsd.org,Cypress Elementary, (714) 220-6900,K-6,"Cypress, CA 90630-2919",9470 Moody Street
http://www.cuyamaunified.org,cuyamaunified.org,Cuyama Joint Unified, (661) 766-2482,K-12,"New Cuyama, CA 93254-9719",2300 Highway 166
http://www.humboldt.k12.ca.us/cutten_sd,humboldt.k12.ca.us,Cutten Elementary, (707) 441-3900,K-6,"Eureka, CA 95503-6223",4182 Walnut Drive
http://www.cojusd.org,cojusd.org,Cutler-Orosi Joint Unified School District, (559) 528-4763,K-12,"Orosi, CA 93647-2008",12623 Avenue 416
http://www.ccreek.k12.ca.us,ccreek.k12.ca.us,Curtis Creek Elementary, (209) 533-1083,K-8,"Sonora, CA 95370-7542",18755 Standard Road
http://www.cusdk8.org,cusdk8.org,Cupertino Union, (408) 252-3000,PK-8,"Cupertino, CA 95014-2091",10301 Vista Drive
http://www.ccusd.org,ccusd.org,Culver City Unified, (310) 842-4220,K-12,"Culver City, CA 90232",4034 Irving  Place
http://www.humboldt.k12.ca.us/cuddeback_sd,humboldt.k12.ca.us,Cuddeback Union Elementary, (707) 768-3372,K-8,"Carlotta, CA 95528-0007",300 Wilder Road
http://www.cuca.k12.ca.us,cuca.k12.ca.us,Cucamonga Elementary, (909) 987-8942,K-8,"Rancho Cucamonga, CA 91730-4698",8776 Archibald Avenue
http://www.tcoe.trinity.k12.ca.us/~cb,tcoe.trinity.k12.ca.us,Cox Bar Elementary, (530) 623-6316,K-8,"Big Bar, CA 96010",304 Corral Bottom Rd
http://www.cvusd.k12.ca.us,cvusd.k12.ca.us,Covina-Valley Unified, (626) 974-7000,K-12,"Covina, CA 91723-0269",519 East Badillo Street
http://www.cwusd.com,cwusd.com,Cottonwood Union Elementary School District, (530) 347-3165,PK-8,"Cottonwood, CA 96022-8808",20512 West First Street
http://www.crpusd.org,crpusd.org,Cotati-Rohnert Park Unified School District, (707) 792-4722,K-12,"Rohnert Park, CA 94928-3316",7165 Burton Avenue
http://www.coronadousd.net,coronadousd.net,Coronado Unified School District, (619) 522-8900,PK-12,"Coronado, CA 92118-1799",201 Sixth Street
http://www.cnusd.k12.ca.us,cnusd.k12.ca.us,Corona-Norco Unified, (951) 736-5000,PK-12,"Norco, CA 92860-1903",2820 Clark Avenue
http://www.corninghs.org/corninghsd/site/default.asp,corninghs.org,Corning Union High, (530) 824-8000,9-12,"Corning, CA 96021-2216",643 Blackburn Avenue
http://www.corningelementary.org,corningelementary.org,Corning Union Elementary, (530) 824-7700,K-8,"Corning, CA 96021-2934",1590 South Street
http://www.corcoranunified.com,corcoranunified.com,Corcoran Joint Unified School District, (559) 992-8888,K-12,"Corcoran, CA 93212-1722",1520 Patterson Avenue
http://www.coastusd.org,coastusd.org,Coast Unified, (805) 927-3880,K-12,"Cambria, CA 93428-3506",1350 Main Street
